FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUG
./scikit-learn/sklearn\linear_model\_quantile.py;263;36;45;2;1;2.5;2.0;3;0;21;14;0
./scikit-learn/sklearn\linear_model\_ransac.py;603;31;123;7;1;2.29;6.0;5;1;42;16;0
./scikit-learn/sklearn\linear_model\_theil_sen.py;374;10;82;7;1;2.57;3.0;3;0;16;11;0
./scikit-learn/sklearn\linear_model\_glm\glm.py;745;53;157;13;4;1.62;3.25;3;1;20;13;0
./scikit-learn/sklearn\linear_model\_glm\_newton_solver.py;444;61;79;12;2;3.75;6.0;0;1;33;13;0
./scikit-learn/sklearn\manifold\_isomap.py;361;13;77;7;1;1.86;7.0;2;0;16;10;0
./scikit-learn/sklearn\manifold\_locally_linear.py;730;41;150;10;1;2.8;5.0;6;1;35;14;0
./scikit-learn/sklearn\manifold\_mds.py;540;9;113;6;1;3.5;4.0;2;0;27;14;0
./scikit-learn/sklearn\manifold\_spectral_embedding.py;671;71;107;10;1;2.0;5.0;3;2;49;14;0
./scikit-learn/sklearn\manifold\_t_sne.py;1022;80;192;14;1;4.29;8.0;9;0;59;15;0
./scikit-learn/sklearn\metrics\cluster\_supervised.py;1022;49;276;15;0;2.0;0.0;4;0;39;12;0
./scikit-learn/sklearn\metrics\cluster\_unsupervised.py;384;11;82;6;0;2.33;0.0;4;0;20;11;0
./scikit-learn/sklearn\metrics\_plot\confusion_matrix.py;393;1;89;4;1;2.5;4.0;1;0;17;12;0
./scikit-learn/sklearn\metrics\_plot\det_curve.py;273;0;59;4;1;2.5;4.0;0;0;5;10;0
./scikit-learn/sklearn\metrics\_plot\precision_recall_curve.py;415;0;89;4;1;3.0;4.0;1;0;13;10;0
./scikit-learn/sklearn\metrics\_plot\regression.py;328;2;78;4;1;2.5;4.0;3;0;15;11;0
./scikit-learn/sklearn\metrics\_plot\roc_curve.py;342;0;77;4;1;2.5;4.0;0;0;12;10;0
./scikit-learn/sklearn\mixture\_gaussian_mixture.py;727;20;185;29;1;2.69;13.0;7;2;47;14;0
